rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-17,401858195,George Mason Patriots,home,75,UNDER,67,67,72,-7.647706543163807,-7.774349648870015,7.7,1572.0799626474463,1598.5054725401508,-38.786415596192455
2,2026-03-17,401858339,Davidson Wildcats,away,74,UNDER,64,70,72.5,-9.896679930012098,-3.670354530478903,7.4,1537.5465555398089,1519.1514774791174,-50.57644420186784
3,2026-03-17,401858193,Auburn Tigers,home,86,UNDER,82.5,72.5,72.5,-3.394197624302251,-13.08262303676102,7.3,1506.4260378327824,1550.653584303456,-24.310790243711608
4,2026-03-17,401858196,Stephen F. Austin Lumberjacks,away,73.5,UNDER,68.5,65.5,72.5,-5.193602960289269,-8.01706361701143,6.3,1651.119505154443,1624.7953091154488,-38.33082044740968
5,2026-03-17,401858338,Wyoming Cowboys,away,71,UNDER,64.5,64.5,71,-6.321241950500465,-6.185452546955645,6.3,1522.1888306446278,1582.649233673986,158.26498573370463
6,2026-03-17,401858194,Seattle U Redhawks,home,75,UNDER,72,66.5,71,-2.853179937258048,-8.02292021002738,4.9,1545.8671541600663,1591.576174149851,-160.26359573360787
7,2026-03-17,401858340,UNC Wilmington Seahawks,away,71,OVER,76.5,75,72,5.686932035805583,3.786985814762872,4.9,1627.2736484065924,1617.2758123337935,30.64025309774456
8,2026-03-17,401858197,UNLV Rebels,away,75,UNDER,70,76.5,71,-4.555560195336156,1.9746521722587005,3.5,1499.9154194627756,1581.283491298465,121.56080724437606
9,2026-03-17,401858193,South Alabama Jaguars,away,68,UNDER,64.5,89.5,74.5,-3.8216592013451702,21.041247462540696,3.3,1550.653584303456,1506.4260378327824,-24.310790243711608
10,2026-03-17,401856434,NC State Wolfpack,home,79,UNDER,76.5,83,75,-2.7562224138477376,3.8499836712275766,3.2,1557.9857121480834,1548.1590649074355,33.51672458950725
11,2026-03-17,401856434,Texas Longhorns,away,79,OVER,80.5,84.5,74.5,1.438238713690211,5.457417863605627,3,1548.1590649074355,1557.9857121480834,33.51672458950725
12,2026-03-17,401858196,Tulsa Golden Hurricane,home,81,UNDER,77,79.5,71,-3.779670396722466,-1.6273700833200166,2.9,1624.7953091154488,1651.119505154443,-38.33082044740968
13,2026-03-17,401858339,Oklahoma State Cowboys,home,82,UNDER,81,78.5,73,-1.0689935096268357,-3.637504281939769,2.1,1519.1514774791174,1537.5465555398089,-50.57644420186784
14,2026-03-17,401858340,Yale Bulldogs,home,76,OVER,76.5,80.5,71.5,0.44049424634792445,4.3402649204265344,2,1617.2758123337935,1627.2736484065924,30.64025309774456
15,2026-03-17,401856435,UMBC Retrievers,away,71,OVER,73,72,72,2.290608598698114,1.3524419290295526,1.9,1610.193517727959,1589.862665163955,-38.62890717042728
16,2026-03-17,401858197,UC Irvine Anteaters,home,78,UNDER,76,79,76,-1.6679377419659431,1.2050698714192833,1.5,1581.283491298465,1499.9154194627756,121.56080724437606
17,2026-03-17,401858194,St. Thomas-Minnesota Tommies,away,72,UNDER,71,81,75.5,-1.2797039556961494,8.706083343099223,1.2,1591.576174149851,1545.8671541600663,-160.26359573360787
18,2026-03-17,401858338,Wichita State Shockers,home,77.5,UNDER,76.5,78.5,75.5,-1.0092709434363485,1.3670578422955089,1.2,1582.649233673986,1522.1888306446278,158.26498573370463
19,2026-03-17,401856435,Howard Bison,home,70,UNDER,69,83,72.5,-0.740637281826281,13.233663782472576,1.1,1589.862665163955,1610.193517727959,-38.62890717042728
20,2026-03-17,401858195,Liberty Flames,away,69.5,UNDER,69.5,77.5,73.5,-0.2003459342845133,7.821844351785742,0.5,1598.5054725401508,1572.0799626474463,-38.786415596192455
