rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-11,401851557,LSU Tigers,away,71.5,OVER,95.5,73.5,74,24.184184658001485,2.0455358678752305,15.3,1459.6358787164695,1554.0303214055407,229.3354699624481
2,2026-03-11,401851614,McNeese Cowboys,away,69,OVER,87.5,72,77.5,18.40603464986154,2.9970439717046276,12.2,1658.1235006289712,1662.9644069114074,14.563413831405567
3,2026-03-11,401851495,Wyoming Cowboys,away,75,UNDER,65.5,61,74,-9.730066161933095,-14.374318262578988,11.6,1531.4897366152022,1495.818436832497,-38.28495422015226
4,2026-03-11,401851559,Texas Longhorns,home,75.5,OVER,90,82,80,14.577346740542879,6.3678568609655315,11.3,1562.9577604440954,1441.313296890531,288.9133556314853
5,2026-03-11,401851472,Delaware State Hornets,away,70,UNDER,54,68,66,-16.201157963817415,-2.2494536858988994,10.6,1374.7046497449635,1499.5572764441845,239.59124210347727
6,2026-03-11,401851176,Wake Forest Demon Deacons,away,69,OVER,77.5,79,71.5,8.799673458975718,10.228963810043453,9.4,1526.1473196181728,1594.5244669453518,123.85996224391032
7,2026-03-11,401851310,Georgetown Hoyas,away,65.5,OVER,77.5,61,72,12.163579969239677,-4.609442670481215,9.1,1480.2492974577997,1501.7197133488953,28.926871112393655
8,2026-03-11,401851336,Montana Grizzlies,home,72,OVER,85.5,71,73.5,13.655488336488162,-1.0579047953087723,8.6,1520.7272572302877,1540.987872153205,-66.03037923015427
9,2026-03-11,401851309,Xavier Musketeers,away,75,OVER,77.5,91,74,2.7293948864067943,15.924181227625482,8,1484.3329282583582,1465.425844709652,65.77098234910477
10,2026-03-11,401851370,Minnesota Golden Gophers,home,70.5,UNDER,58.5,68,73,-11.665264726697508,-2.4215602660899123,8,1507.3882514518943,1464.5204317023313,98.12559338243592
11,2026-03-11,401851293,BYU Cougars,away,74,OVER,84.5,70,75.5,10.694845156754013,-3.670051221188885,7.9,1575.0206438029209,1537.5994829837664,-32.02074088503991
