run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-17T01:57:39,401856437,Prairie View A&M Panthers,Lehigh Mountain Hawks,143,-3.5
2026-03-17T01:57:39,401856436,Miami (OH) RedHawks,SMU Mustangs,164,-6.5
2026-03-17T01:57:39,401858344,Navy Midshipmen,Wake Forest Demon Deacons,148,-11.5
2026-03-17T01:57:39,401858345,Kent State Golden Flashes,Illinois State Redbirds,153,-6
2026-03-17T01:57:39,401858343,George Washington Revolutionaries,Utah Valley Wolverines,157,-1.5
2026-03-17T01:57:39,401858346,Dayton Flyers,Bradley Braves,143.25,1.5
2026-03-17T01:57:39,401858342,Sam Houston Bearkats,New Mexico Lobos,165,-11.75
2026-03-17T01:57:39,401858341,Murray State Racers,Nevada Wolf Pack,163,-8.5
2026-03-17T01:57:39,401858348,Saint Joseph's Hawks,Colorado State Rams,144.25,-5.5
2026-03-17T01:57:39,401858347,UIC Flames,California Golden Bears,149.25,-4.5
