rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-18,401858344,Navy Midshipmen,Wake Forest Demon Deacons,Wake Forest Demon Deacons -11.5,Navy Midshipmen +11.5,Navy Midshipmen -4.5,-8.5,-4,-3,-4.5,-20,-15.5,-14.5,-16,2.8,1.5,0.6,0,16,21,NA,0,NA,-156.8466960072351,-11.5
2,2026-03-18,401858347,UIC Flames,California Golden Bears,California Golden Bears -4.5,UIC Flames +4.5,UIC Flames -9.5,-8.5,-9,-9.5,-9.5,-13,-13.5,-14,-14,2.8,1.5,0.6,0,14,18.7,NA,0,NA,-45.9557900334903,-4.5
3,2026-03-18,401856436,Miami (OH) RedHawks,SMU Mustangs,SMU Mustangs -6.5,Miami (OH) RedHawks +6.5,Miami (OH) RedHawks -5.5,-11.5,-5.5,-2.5,-5.5,-18,-12,-9,-12,2.8,1.5,0.6,0,12,16.8,NA,0,NA,-232.57818634061664,-6.5
4,2026-03-18,401858348,Saint Joseph's Hawks,Colorado State Rams,Colorado State Rams -5.5,Saint Joseph's Hawks +5.5,Saint Joseph's Hawks -5,-4.5,-5,-5.5,-5,-10,-10.5,-11,-10.5,2.8,1.5,0.6,0,10.5,15.5,NA,0,NA,-62.1509435048647,-5.5
5,2026-03-18,401858342,Sam Houston Bearkats,New Mexico Lobos,New Mexico Lobos -12,Sam Houston Bearkats +12,New Mexico Lobos -2,-4.5,2.5,5,2,-16,-9,-7,-9.5,2.8,1.5,0.6,0,9.5,14.5,NA,0,NA,23.603684402818544,-11.75
6,2026-03-18,401856437,Prairie View A&M Panthers,Lehigh Mountain Hawks,Lehigh Mountain Hawks -3.5,Prairie View A&M Panthers +3.5,Prairie View A&M Panthers -2.5,-5.5,2,-3,-2.5,-9,-1.5,-6.5,-6,2.8,1.5,0.6,0,6,10.7,NA,0,NA,1.300216218847936,-3.5
7,2026-03-18,401858343,George Washington Revolutionaries,Utah Valley Wolverines,Utah Valley Wolverines -1.5,Utah Valley Wolverines -1.5,Utah Valley Wolverines -8,0.5,16.5,8,8,-1,15,6.5,6.5,0.8,0,0.6,0,6.5,8.4,NA,0,NA,195.5237504594038,-1.5
8,2026-03-18,401858345,Kent State Golden Flashes,Illinois State Redbirds,Illinois State Redbirds -6,Kent State Golden Flashes +6,Illinois State Redbirds -2,-9,1.5,8,2,-15,-4.5,2,-4,1,0,0.6,0,4,7.4,NA,0,NA,-72.73278693873954,-6
9,2026-03-18,401858346,Dayton Flyers,Bradley Braves,Bradley Braves +1.5,Bradley Braves +1.5,Bradley Braves -2,-8.5,7.5,5,2,-7,9,6.5,3.5,0.8,0,0.6,1.4,3.5,7.2,NA,0,NA,-97.40497967315424,1.5
10,2026-03-18,401858341,Murray State Racers,Nevada Wolf Pack,Nevada Wolf Pack -8.5,Nevada Wolf Pack -8.5,Nevada Wolf Pack -10.5,-3.5,11.5,17,10.5,-12,3,8.5,2,0.8,0,0.6,2.4,2,7,NA,0,NA,108.71653915174852,-8.5
