rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-19,401856486,Howard Bison,Michigan Wolverines,Michigan Wolverines -31.5,Howard Bison +31.5,Michigan Wolverines -6,0,11.5,6.5,6,-31.5,-20,-25,-25.5,2.8,1.5,0.6,0,25.5,30.3,0,0,2,281.54589228196687,-31.5
2,2026-03-19,401856493,Idaho Vandals,Houston Cougars,Houston Cougars -23.5,Idaho Vandals +23.5,Houston Cougars -4,-2.5,10.5,4.5,4,-26,-13,-19,-19.5,2.8,1.5,0.6,0,19.5,24.1,0,0,2,192.3873056797595,-23.5
3,2026-03-19,401856483,North Dakota State Bison,Michigan State Spartans,Michigan State Spartans -16,North Dakota State Bison +16,North Dakota State Bison -2,-4,4,-4.5,-2,-20,-12,-20.5,-18,2.8,1.5,0.6,0,18,23.1,0,0,2,9.183962011040194,-16
4,2026-03-19,401856478,Siena Saints,Duke Blue Devils,Duke Blue Devils -28,Siena Saints +28,Duke Blue Devils -12,7,13.5,14,12,-21.5,-14.5,-14.5,-16,2.8,1.5,0.6,0,16,21.1,0,0,2,314.4263898197851,-28.25
5,2026-03-19,401856485,Kennesaw State Owls,Gonzaga Bulldogs,Gonzaga Bulldogs -20.5,Kennesaw State Owls +20.5,Gonzaga Bulldogs -6,2,11,5.5,6,-18.5,-9.5,-15,-14.5,2.8,1.5,0.6,0,14.5,19.5,0,0,2,235.9307842655528,-20.5
6,2026-03-19,401856491,Pennsylvania Quakers,Illinois Fighting Illini,Illinois Fighting Illini -24.5,Pennsylvania Quakers +24.5,Illinois Fighting Illini -10.5,8,10.5,12,10.5,-16.5,-14,-12.5,-14,2.8,1.5,0.6,0,14,18.6,0,0,2,218.42581252881791,-24.5
7,2026-03-19,401856488,McNeese Cowboys,Vanderbilt Commodores,Vanderbilt Commodores -11.5,McNeese Cowboys +11.5,McNeese Cowboys -0.5,-5,1.5,0.5,-0.5,-16.5,-10,-11,-12,2.8,1.5,0.6,0,12,16.9,0,0,2,-28.747294404352033,-11.5
8,2026-03-19,401856492,Texas A&M Aggies,Saint Mary's Gaels,Saint Mary's Gaels -3,Saint Mary's Gaels -3,Saint Mary's Gaels -14,5,8.5,21.5,14,2,5.5,18.5,11,2.8,1.5,0.6,0,11,16.1,0,0,2,211.78572885695007,-3
9,2026-03-19,401856489,Troy Trojans,Nebraska Cornhuskers,Nebraska Cornhuskers -13,Troy Trojans +13,Nebraska Cornhuskers -3,-2.5,7.5,3.5,3,-15.5,-5.5,-9.5,-10,2.8,1.5,0.6,0,10,14.8,0,0,2,65.8024203986804,-13
10,2026-03-19,401856482,South Florida Bulls,Louisville Cardinals,Louisville Cardinals -5,South Florida Bulls +5,South Florida Bulls -3,-8,1.5,-3,-3,-13,-3.5,-8,-8,2.8,1.5,0.6,0,8,12.9,0,0,2,-68.53776656930222,-5
11,2026-03-19,401856481,Hawai'i Rainbow Warriors,Arkansas Razorbacks,Arkansas Razorbacks -15.5,Hawai'i Rainbow Warriors +15.5,Arkansas Razorbacks -7.5,3.5,6.5,10,7.5,-12,-9,-5.5,-8,2.8,1.5,0.6,0,8,12.9,0,0,2,103.26980884313345,-15.5
12,2026-03-19,401856484,Texas Longhorns,BYU Cougars,BYU Cougars -2,BYU Cougars -2,BYU Cougars -11,-6,9.5,20,11,-8,7.5,18,9,0.8,0,0.6,1.6,9,12.7,0,0,2,27.95758543574675,-2
13,2026-03-19,401856480,High Point Panthers,Wisconsin Badgers,Wisconsin Badgers -10,High Point Panthers +10,Wisconsin Badgers -3,-5,0.5,7.5,3,-15,-9.5,-2.5,-7,2.8,1.5,0.6,0,7,12.1,0,0,2,-79.29948349093092,-10
14,2026-03-19,401856490,VCU Rams,North Carolina Tar Heels,North Carolina Tar Heels -2.5,VCU Rams +2.5,VCU Rams -2.5,-7.5,1,-2,-2.5,-10,-1.5,-4.5,-5,2.8,1.5,0.6,0,5,10,0,0,2,-81.70410088862536,-2.5
15,2026-03-19,401856487,Saint Louis Billikens,Georgia Bulldogs,Georgia Bulldogs -2,Georgia Bulldogs -2,Georgia Bulldogs -5.5,-5,0.5,13,5.5,-7,-1.5,11,3.5,1,0,0,1.4,3.5,7.3,0,0,2,-66.59101989408487,-2
16,2026-03-19,401856479,TCU Horned Frogs,Ohio State Buckeyes,Ohio State Buckeyes -2.5,TCU Horned Frogs +2.5,Ohio State Buckeyes -2,-7,2.5,6.5,2,-9.5,-0,4,-0.5,1,0,0.6,0.8,0.5,5.2,0,0,2,-0.11509259914464565,-2.5
